iter	Passed	Remaining
0	175	174830
1	196	98190
2	223	74406
3	248	61848
4	271	54121
5	294	48858
6	320	45474
7	346	43024
8	374	41236
9	400	39621
10	423	38116
11	446	36786
12	469	35635
13	493	34768
14	517	33998
15	541	33309
16	564	32626
17	586	32020
18	610	31513
19	633	31017
20	654	30532
21	677	30134
22	700	29772
23	725	29510
24	748	29209
25	771	28895
26	793	28592
27	819	28452
28	842	28212
29	867	28035
30	890	27832
31	915	27705
32	940	27555
33	967	27476
34	992	27366
35	1025	27457
36	1054	27436
37	1082	27395
38	1113	27449
39	1141	27387
40	1178	27571
41	1210	27600
42	1237	27544
43	1279	27797
44	1304	27677
45	1325	27498
46	1348	27337
47	1371	27206
48	1400	27185
49	1422	27030
50	1457	27120
51	1481	27004
52	1504	26876
53	1527	26763
54	1549	26620
55	1571	26495
56	1597	26436
57	1621	26333
58	1645	26238
59	1669	26154
60	1692	26046
61	1716	25974
62	1737	25846
63	1761	25759
64	1782	25634
65	1803	25521
66	1827	25450
67	1852	25389
68	1874	25291
69	1895	25188
70	1920	25124
71	1944	25065
72	1965	24960
73	1993	24945
74	2017	24880
75	2039	24795
76	2061	24710
77	2083	24626
78	2107	24564
79	2131	24511
80	2153	24434
81	2176	24362
82	2200	24311
83	2224	24252
84	2247	24193
85	2271	24137
86	2294	24082
87	2309	23936
88	2332	23871
89	2354	23811
90	2377	23747
91	2407	23763
92	2430	23705
93	2453	23650
94	2475	23584
95	2501	23557
96	2529	23546
97	2551	23486
98	2573	23416
99	2592	23330
100	2613	23265
101	2633	23189
102	2654	23118
103	2675	23054
104	2697	22989
105	2718	22931
106	2740	22868
107	2762	22813
108	2784	22764
109	2802	22677
110	2825	22627
111	2848	22584
112	2875	22570
113	2900	22540
114	2921	22483
115	2942	22423
116	2968	22405
117	2997	22406
118	3020	22363
119	3044	22323
120	3068	22292
121	3092	22252
122	3114	22207
123	3136	22154
124	3157	22099
125	3178	22047
126	3200	21998
127	3221	21946
128	3243	21897
129	3264	21849
130	3285	21794
131	3307	21746
132	3328	21698
133	3349	21649
134	3371	21605
135	3392	21552
136	3419	21541
137	3441	21496
138	3462	21445
139	3483	21397
140	3505	21356
141	3526	21308
142	3548	21264
143	3569	21219
144	3591	21178
145	3613	21137
146	3636	21100
147	3658	21060
148	3679	21017
149	3701	20977
150	3713	20876
151	3733	20828
152	3755	20787
153	3776	20744
154	3797	20701
155	3831	20731
156	3951	21214
157	4116	21935
158	4383	23183
159	4745	24912
160	4852	25287
161	4889	25294
162	4918	25257
163	4943	25201
164	4968	25142
165	4992	25082
166	5015	25017
167	5037	24946
168	5061	24890
169	5077	24790
170	5098	24715
171	5119	24645
172	5140	24572
173	5162	24504
174	5183	24437
175	5204	24367
176	5226	24303
177	5249	24243
178	5272	24180
179	5293	24113
180	5314	24046
181	5336	23984
182	5358	23922
183	5380	23861
184	5403	23805
185	5430	23765
186	5453	23708
187	5474	23646
188	5496	23584
189	5517	23520
190	5538	23460
191	5562	23407
192	5583	23346
193	5605	23289
194	5636	23270
195	5659	23216
196	5680	23154
197	5701	23095
198	5723	23039
199	5745	22980
200	5765	22918
201	5786	22857
202	5807	22799
203	5829	22746
204	5850	22688
205	5871	22632
206	5893	22576
207	5914	22518
208	5936	22467
209	5957	22412
210	5981	22365
211	6001	22309
212	6022	22253
213	6044	22202
214	6072	22172
215	6095	22124
216	6117	22072
217	6137	22017
218	6159	21965
219	6185	21932
220	6210	21892
221	6232	21840
222	6258	21804
223	6279	21754
224	6301	21704
225	6322	21652
226	6343	21603
227	6366	21555
228	6387	21504
229	6408	21453
230	6428	21400
231	6448	21347
232	6468	21293
233	6490	21245
234	6511	21198
235	6535	21156
236	6556	21106
237	6576	21055
238	6596	21004
239	6618	20959
240	6642	20918
241	6662	20869
242	6683	20820
243	6703	20770
244	6725	20724
245	6747	20680
246	6771	20642
247	6792	20596
248	6813	20549
249	6836	20509
250	6859	20467
251	6880	20421
252	6903	20383
253	6925	20338
254	6947	20296
255	6970	20258
256	6991	20212
257	7012	20168
258	7033	20121
259	7055	20081
260	7076	20036
261	7100	19999
262	7121	19955
263	7141	19910
264	7164	19871
265	7190	19842
266	7211	19796
267	7232	19755
268	7253	19712
269	7275	19671
270	7296	19628
271	7316	19583
272	7337	19539
273	7358	19496
274	7378	19453
275	7400	19412
276	7424	19378
277	7445	19336
278	7465	19293
279	7486	19251
280	7509	19213
281	7529	19171
282	7552	19134
283	7573	19092
284	7593	19051
285	7614	19008
286	7634	18966
287	7656	18929
288	7677	18887
289	7698	18847
290	7719	18809
291	7741	18769
292	7762	18731
293	7784	18693
294	7805	18653
295	7827	18616
296	7848	18577
297	7872	18545
298	7893	18507
299	7914	18466
300	7936	18429
301	7956	18390
302	7976	18349
303	7998	18311
304	8019	18272
305	8040	18234
306	8061	18198
307	8082	18159
308	8102	18118
309	8125	18085
310	8148	18052
311	8179	18036
312	8205	18010
313	8228	17977
314	8250	17940
315	8270	17902
316	8296	17876
317	8324	17852
318	8345	17815
319	8370	17786
320	8392	17751
321	8421	17732
322	8443	17697
323	8464	17660
324	8484	17620
325	8505	17584
326	8527	17550
327	8549	17515
328	8569	17478
329	8590	17441
330	8612	17406
331	8635	17375
332	8658	17342
333	8678	17305
334	8699	17268
335	8720	17234
336	8741	17197
337	8762	17161
338	8782	17125
339	8804	17090
340	8824	17054
341	8848	17023
342	8869	16989
343	8891	16955
344	8912	16920
345	8933	16886
346	8954	16851
347	8975	16817
348	8999	16786
349	9021	16755
350	9043	16721
351	9064	16687
352	9084	16651
353	9105	16616
354	9128	16585
355	9150	16553
356	9173	16522
357	9195	16490
358	9218	16459
